No.,Mismatch
1242,121.4330756564445
1243,122.83008659340541
1244,123.03358340840816
1245,120.86411422589168
1246,121.46454877725358
1247,122.76176984216208
1248,120.44443211999828
1249,120.34027024294808
1250,121.12183035053884
1251,122.74805997693576
1252,121.1633052108027
1253,120.48370126713728
1254,124.40820362747986
1255,124.27661580892482
1256,125.28768680572783
1257,122.76359593065587
1258,122.47804540627544
1259,122.63496116506573
1260,121.70263095379005
1261,120.59612481015856
1262,122.12671067646838
1263,122.81333006445942
1264,121.38779741689245
1265,121.81520380664135
1266,121.80216405003658
1267,120.631315195524
1268,120.58769184393475
1269,121.79078391031582
1270,122.59363586360739
1271,124.67136419634042
1272,126.30630895616973
1273,126.23631666648113
1274,125.975652932058
1275,124.62040717031965
1276,125.32477243719389
1277,124.19609090008346
1278,127.15037022616711
1279,127.26641605614898
1280,125.65224466461939
1281,124.1068037796823
1282,124.74669516980968
1283,122.27789502351955
1284,123.8474271448377
1285,124.96348329315235
1286,125.40672000125338
1287,125.22910979051548
1288,122.90726092690262
1289,124.99204078182645
1290,124.38002262757473
1291,123.80694030461002
1292,122.91792310633846
1293,122.87415079906609
1294,121.63631673652671
1295,123.1743267594182
1296,123.53380023941247
1297,123.27006249044048
1298,122.71145038791407
1299,122.96559542330891
1300,125.38870166037123
1301,123.47142286060753
1302,123.34204350603179
1303,122.69542728436319
1304,122.747415883044
1305,122.67927533914836
1306,122.37175635073744
1307,122.53778069784269
1308,124.0187469599744
1309,124.65481806626106
1310,123.88241787583318
1311,124.40141063250599
1312,121.04165644575176
1313,121.50472800168615
1314,120.40800996436982
1315,121.75402593914554
